Date,VOO,SPY
6/23/2015,194.410004,212.039993
6/24/2015,193.020004,210.5
6/25/2015,192.419998,209.860001
6/26/2015,192.419998,209.820007
6/29/2015,188.350006,205.419998
6/30/2015,188.839996,205.850006
7/1/2015,190.270004,207.5
7/2/2015,190.130005,207.309998
7/6/2015,189.580002,206.720001
7/7/2015,190.75,208.020004
7/8/2015,187.509995,204.529999
7/9/2015,187.850006,204.899994
7/10/2015,190.240005,207.479996
7/13/2015,192.369995,209.770004
7/14/2015,193.220001,210.679993
7/15/2015,193.139999,210.610001
7/16/2015,194.619995,212.300003
7/17/2015,194.850006,212.479996
7/20/2015,194.940002,212.589996
7/21/2015,194.169998,211.75
7/22/2015,193.789993,211.369995
7/23/2015,192.679993,210.179993
7/24/2015,190.669998,208
7/27/2015,189.589996,206.789993
7/28/2015,191.889999,209.330002
7/29/2015,193.25,210.770004
7/30/2015,193.279999,210.820007
7/31/2015,192.949997,210.5
8/3/2015,192.350006,209.789993
8/4/2015,191.970001,209.380005
8/5/2015,192.639999,210.070007
8/6/2015,191.169998,208.350006
8/7/2015,190.669998,207.949997
8/10/2015,193.089996,210.570007
8/11/2015,191.320007,208.669998
8/12/2015,191.490005,208.919998
8/13/2015,191.279999,208.660004
8/14/2015,192.020004,209.419998
8/17/2015,193.089996,210.589996
8/18/2015,192.5,209.979996
8/19/2015,190.979996,208.320007
8/20/2015,186.970001,203.970001
8/21/2015,181.039993,197.830002
8/24/2015,173.660004,189.5
8/25/2015,171.550003,187.270004
8/26/2015,178.360001,194.460007
8/27/2015,182.720001,199.270004
8/28/2015,182.720001,199.279999
8/31/2015,181.110001,197.669998
9/1/2015,175.580002,191.770004
9/2/2015,179.119995,195.410004
9/3/2015,179.270004,195.550003
9/4/2015,176.490005,192.589996
9/8/2015,181.009995,197.429993
9/9/2015,178.570007,194.789993
9/10/2015,179.570007,195.850006
9/11/2015,180.320007,196.740005
9/14/2015,179.639999,196.009995
9/15/2015,181.979996,198.460007
9/16/2015,183.570007,200.179993
9/17/2015,183.089996,199.729996
9/18/2015,180.130005,195.449997
9/21/2015,180.100006,196.460007
9/22/2015,177.75,193.910004
9/23/2015,177.429993,193.600006
9/24/2015,176.880005,192.899994
9/25/2015,176.759995,192.850006
9/28/2015,172.309998,188.009995
9/29/2015,172.399994,188.119995
9/30/2015,175.710007,191.630005
10/1/2015,176.199997,192.130005
10/2/2015,178.75,195
10/5/2015,181.960007,198.470001
10/6/2015,181.350006,197.789993
10/7/2015,182.869995,199.410004
10/8/2015,184.479996,201.210007
10/9/2015,184.580002,201.330002
10/12/2015,184.800003,201.520004
10/13/2015,183.570007,200.25
10/14/2015,182.710007,199.289993
10/15/2015,185.449997,202.350006
10/16/2015,186.199997,203.270004
10/19/2015,186.419998,203.369995
10/20/2015,186.179993,203.110001
10/21/2015,184.970001,201.850006
10/22/2015,188.169998,205.259995
10/23/2015,190.220001,207.509995
10/26/2015,189.770004,207
10/27/2015,189.399994,206.600006
10/28/2015,191.600006,208.949997
10/29/2015,191.529999,208.830002
10/30/2015,190.559998,207.929993
11/2/2015,192.820007,210.389999
11/3/2015,193.429993,211
11/4/2015,192.880005,210.360001
11/5/2015,192.639999,210.149994
11/6/2015,192.559998,210.039993
11/9/2015,190.759995,208.080002
11/10/2015,191.119995,208.559998
11/11/2015,190.389999,207.740005
11/12/2015,187.839996,204.839996
11/13/2015,185.669998,202.539993
11/16/2015,188.520004,205.619995
11/17/2015,188.289993,205.470001
11/18/2015,191.320007,208.729996
11/19/2015,191.220001,208.550003
11/20/2015,191.929993,209.309998
11/23/2015,191.710007,209.070007
11/24/2015,192.020004,209.350006
11/25/2015,191.960007,209.320007
11/27/2015,192.149994,209.559998
11/30/2015,191.369995,208.690002
12/1/2015,193.220001,210.679993
12/2/2015,191.179993,208.529999
12/3/2015,188.460007,205.610001
12/4/2015,192.160004,209.619995
12/7/2015,190.949997,208.350006
12/8/2015,189.729996,206.949997
12/9/2015,188.309998,205.339996
12/10/2015,188.740005,205.869995
12/11/2015,184.979996,201.880005
12/14/2015,186.089996,202.899994
12/15/2015,188.029999,205.029999
12/16/2015,190.669998,208.029999
12/17/2015,187.889999,204.860001
12/18/2015,184.399994,200.020004
12/21/2015,184.929993,201.669998
